Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.09,0.001,0.03,0.010618437,0.02114847,5,1.25,0.875,0.770833333,0.7125,0.708333333,0.678571429,0.642857143,0.597222222,0.580555556,0.572727273,0.566287879,0.578525641,0.556318681,0.526190476,0.510416667,0.507352941,0.491830065,0.484649123,0.488157895,0.480357143,0.284435354
0.09,0.003,0.03,0.007041566,0.026519957,7,4.125,3.083333333,2.6875,2.55,2.333333333,2.232142857,2.107142857,2.045138889,1.952777778,1.961363636,1.893939394,1.830128205,1.763736264,1.723809524,1.686458333,1.650735294,1.623366013,1.597222222,1.556578947,1.501785714,0.143133207
0.09,0.005,0.03,0.001111111,0.034568618,10,5.375,4.416666667,4.0625,3.675,3.325,3.05952381,2.866071429,2.729166667,2.580555556,2.497727273,2.426136364,2.376602564,2.287087912,2.189285714,2.113541667,2.039522059,1.963235294,1.886695906,1.819736842,1.766071429,0.15277642
0.1,0.001,0.03,0.008808439,0.003434941,5,1,1.125,0.916666667,0.9125,0.941666667,0.898809524,0.852678571,0.90625,0.875,0.845454545,0.852272727,0.838141026,0.811813187,0.814285714,0.80625,0.801470588,0.776143791,0.769736842,0.751973684,0.7375,0.224884722
0.1,0.003,0.03,0.006018714,0.007064631,9,4.75,4.166666667,3.958333333,3.7,3.65,3.732142857,3.620535714,3.409722222,3.208333333,3.031818182,2.854166667,2.681089744,2.517857143,2.369047619,2.234375,2.111213235,2.017156863,1.918128655,1.831578947,1.748214286,0.131366954
0.1,0.005,0.03,0.006337991,0.011782817,11,8.875,7.208333333,6.354166667,5.825,5.466666667,5.029761905,4.665178571,4.336805556,3.980555556,3.677272727,3.397727273,3.169871795,2.967032967,2.788095238,2.633333333,2.495404412,2.366830065,2.253654971,2.156578947,2.066666667,0.118644514
0.11,0.001,0.03,0.002244074,0.01197364,5,0.875,0.958333333,0.958333333,0.9375,1.033333333,1.005952381,0.950892857,0.923611111,0.936111111,0.952272727,0.954545455,0.931089744,0.923076923,0.894047619,0.860416667,0.829044118,0.801470588,0.787280702,0.761842105,0.731547619,0.217337426
0.11,0.003,0.03,0.005015974,0.010135956,12,6.75,6.958333333,6.583333333,5.9125,5.45,4.916666667,4.495535714,4.104166667,3.752777778,3.438636364,3.189393939,2.971153846,2.76510989,2.579761905,2.417708333,2.279411765,2.154411765,2.043859649,1.944736842,1.857738095,0.135493344
0.11,0.005,0.03,0.003535534,0.006527283,18,12,10.66666667,9.354166667,8,6.766666667,5.821428571,5.142857143,4.576388889,4.091666667,3.718181818,3.428030303,3.166666667,2.957417582,2.766666667,2.597916667,2.453125,2.324346405,2.205409357,2.114473684,2.026785714,0.157647395
0.09,0.001,0.03,0.01103063,0.026051573,5,1.25,0.791666667,0.6875,0.6625,0.583333333,0.56547619,0.526785714,0.503472222,0.508333333,0.486363636,0.484848485,0.47275641,0.450549451,0.441666667,0.427083333,0.417279412,0.424019608,0.421783626,0.411184211,0.407738095,0.313984748
