Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.005943983,0.052542189,5,1.5,0.958333333,0.729166667,0.7125,0.683333333,0.619047619,0.558035714,0.600694444,0.558333333,0.540909091,0.520833333,0.496794872,0.483516484,0.464285714,0.446875,0.428308824,0.412581699,0.396929825,0.382894737,0.372619048,0.296454527
0.05,0.003,0.01,0.005435997,0.054044136,6,3.375,2.208333333,1.666666667,1.475,1.408333333,1.333333333,1.227678571,1.142361111,1.122222222,1.093181818,1.034090909,0.980769231,0.945054945,0.917857143,0.896875,0.870404412,0.859477124,0.84502924,0.833552632,0.817261905,0.193221264
0.05,0.005,0.01,0.01569695,0.057281519,7,3.75,2.708333333,2.270833333,1.9,1.716666667,1.583333333,1.473214286,1.409722222,1.35,1.290909091,1.253787879,1.22275641,1.221153846,1.205952381,1.197916667,1.194852941,1.205882353,1.274122807,1.3,1.313095238,0.180214819
0.1,0.001,0.01,0.00075858,0.004750103,7,3.125,3.5,2.770833333,2.45,2.275,2.125,2.084821429,1.979166667,1.852777778,1.743181818,1.617424242,1.508012821,1.414835165,1.338095238,1.251041667,1.185661765,1.124183007,1.065789474,1.017763158,0.969642857,0.161296899
0.1,0.003,0.01,0.001118034,0.002431825,21,14.75,11.91666667,9.708333333,7.9125,6.666666667,5.726190476,4.995535714,4.4375,3.980555556,3.611363636,3.320075758,3.064102564,2.837912088,2.65,2.486458333,2.340073529,2.212418301,2.095760234,1.992105263,1.89702381,0.175583461
0.1,0.005,0.01,0.0025,0.004710877,25,19.75,15.08333333,11.25,9.05,7.433333333,6.375,5.522321429,4.909722222,4.416666667,4.029545455,3.691287879,3.419871795,3.175824176,2.975,2.797916667,2.637867647,2.503267974,2.384502924,2.273684211,2.182738095,0.177478813
0.15,0.001,0.01,0.008187362,0.051,5,0,0.708333333,0.583333333,0.575,0.483333333,0.422619048,0.375,0.347222222,0.336111111,0.311363636,0.289772727,0.275641026,0.28021978,0.271428571,0.264583333,0.256433824,0.248366013,0.246345029,0.2375,0.236309524,0.425571182
0.15,0.003,0.01,0.00874141,0.051270839,8,4.25,3.166666667,2.625,2.475,2.133333333,1.976190476,1.861607143,1.71875,1.586111111,1.531818182,1.517045455,1.445512821,1.395604396,1.35952381,1.29375,1.242647059,1.201797386,1.167397661,1.163815789,1.136904762,0.180797187
0.15,0.005,0.01,0.002828427,0.045711641,12,4.375,3.791666667,3.291666667,3.0125,2.775,2.613095238,2.508928571,2.440972222,2.391666667,2.315909091,2.255681818,2.253205128,2.218406593,2.160714286,2.140625,2.086397059,2.044117647,2.039473684,2.015789474,1.999404762,0.191295358
0.05,0.001,0.01,0.010002768,0.054966293,6,2,1.291666667,0.979166667,0.825,0.708333333,0.607142857,0.558035714,0.517361111,0.488888889,0.509090909,0.53030303,0.514423077,0.487637363,0.460714286,0.4375,0.420036765,0.402777778,0.388888889,0.375,0.37202381,0.317897786
0.05,0.003,0.01,0.011962393,0.054360721,6,2.875,2.083333333,1.770833333,1.525,1.366666667,1.255952381,1.1875,1.121527778,1.061111111,1.018181818,0.988636364,0.953525641,0.925824176,0.897619048,0.86875,0.852022059,0.840686275,0.821637427,0.803289474,0.798214286,0.199897978
0.05,0.005,0.01,0.015137992,0.055271133,7,4,2.916666667,2.354166667,2.025,1.841666667,1.654761905,1.59375,1.475694444,1.388888889,1.363636364,1.354166667,1.338141026,1.346153846,1.370238095,1.38125,1.392463235,1.370098039,1.329678363,1.286842105,1.251190476,0.170588357
