File name,Search Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer 01 mean,Layer 02 mean,Layer 03 mean,Layer 04 mean,Layer 05 mean,Layer 06 mean,Layer 07 mean,Layer 08 mean,Layer 09 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
rack_1.json,0.08,0.001,0.168338498,0.167952701,157,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811369509
rack_1.json,0.08,0.003,0.16278836,0.16321675,267,124.375,108.7083333,102.0416667,95.65,88.25833333,82.0952381,76.625,71.72569444,67.19722222,63.26136364,59.33522727,55.77564103,0,0,0,0,0,0,0,0,0.211560771
rack_1.json,0.08,0.005,0.035262586,0.035670205,315,189.25,187.0416667,170.875,152.4375,134.8666667,120.125,107.5089286,97.23263889,88.70277778,81.58863636,75.48674242,70.34935897,66.08791209,0,0,0,0,0,0,0,0.16966929
rack_1.json,0.09,0.001,0.083311764,0.085070832,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_1.json,0.09,0.003,0.174754828,0.174500543,242,102.25,91.16666667,86.0625,79.3,73.975,69.4702381,65.57142857,61.40277778,57.65277778,54.17045455,50.84848485,0,0,0,0,0,0,0,0,0,0.234071908
rack_1.json,0.09,0.005,0.173425632,0.174046024,290,159.625,149.4166667,134.8541667,121.85,109.6666667,97.81547619,88.04464286,79.95486111,72.97777778,66.96136364,61.48863636,0,0,0,0,0,0,0,0,0,0.202421342
rack_1.json,0.1,0.001,0.093390042,0.0167537,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_1.json,0.1,0.003,0.009972462,0.010222985,216,118.125,115.2083333,114.2291667,110.2875,101.45,94,88.45089286,82.00694444,75.78333333,70.43863636,65.45833333,61.1474359,57.45467033,53.9797619,51.003125,48.37132353,46.04575163,43.85233918,0,0,0.133887682
rack_1.json,0.1,0.005,0.014847559,0.014866045,321,204,195.4166667,180.3541667,160.3375,141.5583333,126.2142857,113.8035714,102.4652778,93.46666667,85.47727273,78.77083333,72.76442308,67.78434066,0,0,0,0,0,0,0,0.165173303
rack_1.json,0.11,0.001,0.203347609,0.203492247,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_1.json,0.11,0.003,0.193509302,0.193558001,252,108.25,90.29166667,88.22916667,84.3625,79.825,75.2797619,70.28125,65.92013889,61.09722222,57.325,53.82765152,50.83974359,0,0,0,0,0,0,0,0,0.221532794
rack_1.json,0.11,0.005,0.193763903,0.19344004,266,185.5,170,145.7291667,128.675,113.2333333,100.3095238,89.97321429,81.40277778,74.31666667,68.37045455,63.22159091,58.92467949,55.2239011,0,0,0,0,0,0,0,0.166158581
rack_1.json,0.12,0.001,0.017030854,0.017040486,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rack_1.json,0.12,0.003,0.094823257,0.200847129,223,95.75,94.25,89.45833333,88.125,82.76666667,76.42261905,71.32142857,67.17361111,62.70833333,58.97272727,55.47159091,52.15544872,49.09203297,46.38095238,0,0,0,0,0,0,0.183834327
