Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.002392632,0.108548306,4,1.25,0.75,0.625,0.5625,0.491666667,0.44047619,0.392857143,0.350694444,0.330555556,0.338636364,0.323863636,0.315705128,0.303571429,0.285714286,0.270833333,0.258272059,0.245098039,0.23245614,0.221710526,0.2125,0.327812132
0.05,0.001,0.03,0.005141992,0.196538341,4,1.125,0.708333333,0.520833333,0.4125,0.383333333,0.351190476,0.316964286,0.298611111,0.277777778,0.256818182,0.242424242,0.229166667,0.212912088,0.202380952,0.19375,0.182904412,0.174019608,0.165204678,0.157894737,0.152380952,0.37863011
0.05,0.003,0.01,0.009212806,0.106484036,5,1.875,1.166666667,0.9375,0.8,0.741666667,0.696428571,0.674107143,0.677083333,0.647222222,0.609090909,0.579545455,0.548076923,0.541208791,0.523809524,0.504166667,0.489889706,0.485294118,0.475146199,0.465131579,0.460119048,0.264590114
0.05,0.003,0.03,0.026700793,0.113286075,5,2,1.166666667,1.0625,0.975,0.9,0.869047619,0.852678571,0.788194444,0.733333333,0.690909091,0.640151515,0.599358974,0.581043956,0.551190476,0.539583333,0.524816176,0.503267974,0.494152047,0.492105263,0.480952381,0.244559148
0.05,0.005,0.01,0.004769583,0.10608202,5,1.625,1.333333333,1.145833333,1.0375,0.958333333,0.863095238,0.821428571,0.75,0.738888889,0.727272727,0.700757576,0.661858974,0.67032967,0.679761905,0.684375,0.705882353,0.695261438,0.69371345,0.677631579,0.663690476,0.229001188
0.05,0.005,0.03,0.003152717,0.101310116,5,2.125,1.375,1.208333333,1.075,0.983333333,0.946428571,0.879464286,0.8125,0.755555556,0.747727273,0.725378788,0.71474359,0.693681319,0.701190476,0.717708333,0.715073529,0.713235294,0.695175439,0.686842105,0.65952381,0.218046439
0.09,0.001,0.01,0.006558653,0.070001786,4,0.75,0.541666667,0.5,0.3875,0.341666667,0.31547619,0.294642857,0.305555556,0.347222222,0.340909091,0.321969697,0.307692308,0.293956044,0.302380952,0.289583333,0.279411765,0.277777778,0.266812865,0.257236842,0.25,0.364582261
0.09,0.001,0.03,0.003841663,0.069347043,4,0.625,0.541666667,0.4375,0.4,0.341666667,0.303571429,0.276785714,0.260416667,0.25,0.25,0.248106061,0.278846154,0.278846154,0.272619048,0.264583333,0.253676471,0.244281046,0.233918129,0.224342105,0.216071429,0.39208394
0.09,0.003,0.01,0.008147864,0.067547437,6,2.25,1.833333333,1.520833333,1.35,1.208333333,1.119047619,1.084821429,1.010416667,0.944444444,0.918181818,0.886363636,0.844551282,0.799450549,0.789285714,0.75625,0.747242647,0.724673203,0.701023392,0.698026316,0.69047619,0.223241237
0.09,0.003,0.03,0.003948693,0.068561674,5,2.375,1.875,1.708333333,1.45,1.258333333,1.19047619,1.151785714,1.104166667,1.022222222,0.965909091,0.939393939,0.897435897,0.851648352,0.810714286,0.784375,0.755514706,0.732843137,0.709064327,0.686184211,0.666666667,0.185631615
0.09,0.005,0.01,0.009402172,0.066453292,7,3.125,2.416666667,2.041666667,1.7125,1.683333333,1.55952381,1.4375,1.350694444,1.286111111,1.240909091,1.191287879,1.142628205,1.114010989,1.092857143,1.060416667,1.030330882,1.026143791,1.039473684,1.049342105,1.056547619,0.196315197
0.09,0.005,0.03,0.016300172,0.067199753,7,3.875,2.791666667,2.1875,1.8125,1.616666667,1.476190476,1.424107143,1.350694444,1.308333333,1.268181818,1.21969697,1.165064103,1.129120879,1.102380952,1.0875,1.077205882,1.064542484,1.057748538,1.05,1.056547619,0.188574294
0.1,0.001,0.01,0.006059711,0.054925314,4,0.625,0.5,0.541666667,0.4625,0.425,0.386904762,0.370535714,0.350694444,0.336111111,0.325,0.303030303,0.294871795,0.28021978,0.267857143,0.258333333,0.25,0.246732026,0.242690058,0.236842105,0.231547619,0.365779938
0.1,0.001,0.03,0.001024117,0.046647615,3,0.5,0.375,0.395833333,0.375,0.358333333,0.303571429,0.285714286,0.256944444,0.244444444,0.243181818,0.236742424,0.224358974,0.214285714,0.204761905,0.195833333,0.193933824,0.178921569,0.177631579,0.172368421,0.169047619,0.361188667
0.1,0.003,0.01,0.007390018,0.053840331,7,2.125,2.041666667,1.854166667,1.675,1.516666667,1.363095238,1.227678571,1.166666667,1.091666667,1.059090909,1.03030303,1,0.971153846,0.946428571,0.923958333,0.899816176,0.880718954,0.860380117,0.836842105,0.818452381,0.223722573
