Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.011884294,0.043055699,5,1.625,1.208333333,0.979166667,0.9125,0.825,0.767857143,0.741071429,0.684027778,0.638888889,0.588636364,0.551136364,0.509615385,0.482142857,0.460714286,0.441666667,0.432904412,0.431372549,0.420321637,0.411184211,0.407142857,0.269997604
0.05,0.001,0.03,0.001616439,0.043904938,4,1.625,1,0.791666667,0.7625,0.675,0.672619048,0.669642857,0.690972222,0.666666667,0.638636364,0.630681818,0.596153846,0.565934066,0.54047619,0.513541667,0.492647059,0.491830065,0.47002924,0.45,0.43452381,0.230169176
0.05,0.003,0.01,0.002556028,0.045079557,6,3.125,2.458333333,2.1875,1.8125,1.583333333,1.517857143,1.410714286,1.3125,1.266666667,1.211363636,1.172348485,1.141025641,1.100274725,1.073809524,1.060416667,1.055147059,1.050653595,1.054824561,1.036842105,1.032738095,0.173090992
0.05,0.003,0.03,0.010571577,0.060234449,6,2.375,1.5,1.25,1.225,1.283333333,1.279761905,1.232142857,1.263888889,1.25,1.247727273,1.221590909,1.165064103,1.126373626,1.1,1.06875,1.055147059,1.031862745,1.030701754,1.034868421,1.033928571,0.194962548
0.05,0.005,0.01,0.00571183,0.044680148,8,3.5,2.791666667,2.333333333,2.1375,1.941666667,1.839285714,1.821428571,1.746527778,1.727777778,1.686363636,1.659090909,1.626602564,1.611263736,1.617857143,1.629166667,1.639705882,1.610294118,1.58625731,1.5375,1.495833333,0.175673129
0.05,0.005,0.03,0.008182224,0.060722296,7,3.375,2.541666667,2.208333333,2.0625,2.025,1.839285714,1.674107143,1.611111111,1.558333333,1.581818182,1.505681818,1.469551282,1.48489011,1.458333333,1.440625,1.436580882,1.446078431,1.480263158,1.45,1.410119048,0.166431766
0.09,0.001,0.01,0.002603417,0.002999204,11,4.625,4.541666667,4.3125,3.8125,3.4,3.071428571,2.732142857,2.475694444,2.258333333,2.054545455,1.892045455,1.751602564,1.625,1.516666667,1.421875,1.344669118,1.270424837,1.203216374,1.143421053,1.09047619,0.187895407
0.09,0.001,0.03,0.006715805,0.004677443,7,2.125,1.833333333,2.0625,1.875,1.816666667,1.797619048,1.763392857,1.690972222,1.605555556,1.538636364,1.454545455,1.365384615,1.313186813,1.278571429,1.221875,1.177389706,1.132352941,1.082602339,1.047368421,1.010714286,0.188209143
0.09,0.003,0.01,0.002912044,0.001970375,20,15.5,12.29166667,9.75,8.0125,6.683333333,5.696428571,4.96875,4.378472222,3.936111111,3.584090909,3.274621212,3.014423077,2.800824176,2.611904762,2.447916667,2.302389706,2.179738562,2.070175439,1.972368421,1.876785714,0.16757085
0.09,0.003,0.03,0.002236068,0.001506542,14,8.125,7.458333333,7.229166667,6.725,6.058333333,5.31547619,4.705357143,4.204861111,3.797222222,3.490909091,3.214015152,2.958333333,2.748626374,2.569047619,2.403125,2.267463235,2.150326797,2.046783626,1.945394737,1.851190476,0.14696008
0.09,0.005,0.01,0.003535534,0.000554181,28,19.75,14.08333333,10.64583333,8.4125,6.941666667,5.982142857,5.200892857,4.604166667,4.138888889,3.763636364,3.456439394,3.190705128,2.968406593,2.792857143,2.632291667,2.493566176,2.371732026,2.269736842,2.180921053,2.095833333,0.202934505
0.09,0.005,0.03,0.018027756,0.017883905,20,10.5,8.291666667,7.375,6.725,6.241666667,5.553571429,4.955357143,4.482638889,4.058333333,3.695454545,3.399621212,3.144230769,2.921703297,2.744047619,2.584375,2.448529412,2.324346405,2.21125731,2.125657895,2.057142857,0.185460628
0.1,0.001,0.01,0.001490386,0.012668381,6,1.375,1.5,1.458333333,1.3,1.291666667,1.154761905,1.120535714,1.079861111,1.027777778,0.993181818,0.950757576,0.967948718,0.938186813,0.914285714,0.891666667,0.867647059,0.859477124,0.845760234,0.827631579,0.810119048,0.220794428
