lower_seed_won,seed_diff,season,round,days_from_epoch,game_date,day,win_seed,win_region,win_market,win_name,win_alias,win_team_id,win_school_ncaa,win_code_ncaa,win_pts,win_CONF,win_YEAR,win_G,win_W,win_ADJOE,win_ADJDE,win_BARTHAG,win_EFG_O,win_EFG_D,win_TOR,win_TORD,win_ORB,win_DRB,win_FTR,win_FTRD,win_2P_O,win_2P_D,win_3P_O,win_3P_D,win_ADJ_T,win_WAB,lose_seed,lose_region,lose_market,lose_name,lose_alias,lose_team_id,lose_school_ncaa,lose_code_ncaa,lose_pts,num_ot,academic_year,key
0,0,2013,68,15783,3/19/13,Tuesday,16,Y,North Carolina A&T,Aggies,NCAT,53aaac6a-796e-41a6-a04e-6ce74c5717f8,N.C. A&T,488,73,MEAC,2013,36,19,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32,66.9,-11.5,16,Y,Liberty,Flames,LIB,559db90c-741f-40d1-aa81-3fdd1d4889f3,Liberty,355,72,0,2012,Liberty.2013
1,3,2013,64,15786,3/22/13,Friday,7,X,San Diego State,Aztecs,SDSU,e6914f16-ca37-4d2e-ba26-a425910283e2,San Diego St.,626,70,MWC,2013,32,21,106,89.5,0.8752,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,0.4,10,X,Oklahoma,Sooners,OKLA,b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,522,55,0,2012,Oklahoma.2013
1,9,2013,64,15785,3/21/13,Thursday,4,Y,Saint Louis,Billikens,SLU,1e42cce3-236b-4f3e-9650-2c45e6332e1e,Saint Louis,609,64,A10,2013,35,28,108,87.5,0.9181,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,64.7,3.8,13,Y,New Mexico State,Aggies,NMSU,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,New Mexico St.,472,44,0,2012,New Mexico St..2013
1,13,2013,64,15786,3/22/13,Friday,2,Y,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,73,ACC,2013,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,15,Y,Albany,Great Danes,ALBY,290a5130-836d-45e6-824f-28704d6ba246,Albany (NY),14,61,0,2012,Albany (NY).2013
1,5,2013,32,15788,3/24/13,Sunday,2,Y,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,66,ACC,2013,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,7,Y,Creighton,Bluejays,CREI,7d797407-623e-476d-b299-46de4275414d,Creighton,169,50,0,2012,Creighton.2013
1,1,2013,16,15793,3/29/13,Friday,2,Y,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,71,ACC,2013,36,30,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,67.8,7.5,3,Y,Michigan State,Spartans,MSU,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan St.,416,61,0,2012,Michigan St..2013
1,3,2013,64,15786,3/22/13,Friday,7,Y,Creighton,Bluejays,CREI,7d797407-623e-476d-b299-46de4275414d,Creighton,169,67,MVC,2013,36,28,116.4,95,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,10,Y,Cincinnati,Bearcats,CIN,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Cincinnati,140,63,0,2012,Cincinnati.2013
1,13,2013,64,15786,3/22/13,Friday,2,Z,Ohio State,Buckeyes,OSU,857462b3-0ab6-4d26-9669-10ca354e382b,Ohio St.,518,95,B10,2013,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,15,Z,Iona,Gaels,IONA,255c2a87-40c0-4989-bbb9-d286aac5d28e,Iona,310,70,0,2012,Iona.2013
1,8,2013,32,15788,3/24/13,Sunday,2,Z,Ohio State,Buckeyes,OSU,857462b3-0ab6-4d26-9669-10ca354e382b,Ohio St.,518,78,B10,2013,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,10,Z,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,75,0,2012,Iowa St..2013
1,4,2013,16,15792,3/28/13,Thursday,2,Z,Ohio State,Buckeyes,OSU,857462b3-0ab6-4d26-9669-10ca354e382b,Ohio St.,518,73,B10,2013,37,29,113.6,89.4,0.9406,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,65.3,7.2,6,Z,Arizona,Wildcats,ARIZ,9b166a3f-e64b-4825-bb6b-92c6f0418263,Arizona,29,70,0,2012,Arizona.2013
1,5,2013,64,15785,3/21/13,Thursday,6,W,Butler,Bulldogs,BUT,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Butler,87,68,A10,2013,35,26,109.2,93,0.86240000000000006,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,11,W,Bucknell,Bison,BUCK,98d2123a-c7b9-4b5f-8a81-43f76d8537dc,Bucknell,83,56,0,2012,Bucknell.2013
1,15,2013,64,15785,3/21/13,Thursday,1,Z,Gonzaga,Bulldogs,GONZ,2f4d21f8-6d5f-48a5-abca-52a30583871a,Gonzaga,260,64,WCC,2013,34,31,118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55,42.1,36.5,32.9,65.1,7.6,16,Z,Southern University,Jaguars,SOU,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,Southern U.,665,58,0,2012,Southern U..2013
1,15,2013,64,15785,3/21/13,Thursday,1,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,79,BE,2013,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,16,Y,North Carolina A&T,Aggies,NCAT,53aaac6a-796e-41a6-a04e-6ce74c5717f8,N.C. A&T,488,48,0,2012,N.C. A&T.2013
1,7,2013,32,15787,3/23/13,Saturday,1,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,82,BE,2013,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,8,Y,Colorado State,Rams,CSU,1a470730-f328-4fb1-8bbf-36a069e4d6b2,Colorado St.,156,56,0,2012,Colorado St..2013
1,11,2013,16,15793,3/29/13,Friday,1,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,77,BE,2013,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,12,Y,Oregon,Ducks,ORE,1da70895-f77f-44ef-b216-d63c02e696eb,Oregon,529,69,0,2012,Oregon.2013
1,1,2013,8,15795,3/31/13,Sunday,1,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,85,BE,2013,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,2,Y,Duke,Blue Devils,DUKE,faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,193,63,0,2012,Duke.2013
1,8,2013,4,15801,4/6/13,Saturday,1,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,72,BE,2013,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,9,Z,Wichita State,Shockers,WICH,f38b58de-3273-4723-a78b-2f918e9aa2d5,Wichita St.,782,68,0,2012,Wichita St..2013
1,3,2013,2,15803,4/8/13,Monday,1,Y,Louisville,Cardinals,LOU,b795ddbc-baab-4499-8803-52e8608520ab,Louisville,367,82,BE,2013,40,35,115.9,84.5,0.9743,50.6,44.8,18.3,27,38.2,33.3,40,34.9,50.8,43.4,33.3,31.8,67.1,9,4,X,Michigan,Wolverines,MICH,bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,418,76,0,2012,Michigan.2013
0,11,2013,64,15785,3/21/13,Thursday,14,Z,Harvard,Crimson,HARV,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,Harvard,275,68,Ivy,2013,29,19,104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,-2.6,3,Z,New Mexico,Lobos,UNM,1b1977ec-b32f-4ce3-95a4-d07bab4816cd,New Mexico,473,62,0,2012,New Mexico.2013
0,3,2013,64,15786,3/22/13,Friday,10,Z,Iowa State,Cyclones,ISU,0e4258fa-3154-4c16-b693-adecab184c6c,Iowa St.,311,76,B12,2013,35,23,117.2,98.3,0.8828,53.8,48,18.5,18.6,34.2,28.5,33,32.7,51.9,48.8,37.4,31.1,69.6,0.7,7,Z,Notre Dame,Fighting Irish,ND,80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,513,58,0,2012,Notre Dame.2013
0,7,2013,64,15785,3/21/13,Thursday,12,Y,Oregon,Ducks,ORE,1da70895-f77f-44ef-b216-d63c02e696eb,Oregon,529,68,P12,2013,37,28,104.8,88.6,0.8728,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,5,Y,Oklahoma State,Cowboys,OKST,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Oklahoma St.,521,55,0,2012,Oklahoma St..2013
0,8,2013,32,15787,3/23/13,Saturday,12,Y,Oregon,Ducks,ORE,1da70895-f77f-44ef-b216-d63c02e696eb,Oregon,529,74,P12,2013,37,28,104.8,88.6,0.8728,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,4,Y,Saint Louis,Billikens,SLU,1e42cce3-236b-4f3e-9650-2c45e6332e1e,Saint Louis,609,57,0,2012,Saint Louis.2013
0,0,2013,68,15784,3/20/13,Wednesday,16,W,James Madison,Dukes,JMU,524e3eec-7dde-45c7-b3cc-6308cec73350,James Madison,317,68,CAA,2013,36,21,98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,16,W,LIU Brooklyn,Blackbirds,LIU,82c12e8d-7c6c-47d8-b100-3cbc190d268e,LIU Brooklyn,361,55,0,2012,LIU Brooklyn.2013
0,13,2013,64,15786,3/22/13,Friday,15,X,Florida Gulf Coast,Eagles,FGCU,5326c079-3dc3-468f-a601-b776dd9c1e62,FGCU,28755,78,ASun,2013,35,24,103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4,2,X,Georgetown,Hoyas,GTWN,8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,251,68,0,2012,Georgetown.2013
0,8,2013,32,15788,3/24/13,Sunday,15,X,Florida Gulf Coast,Eagles,FGCU,5326c079-3dc3-468f-a601-b776dd9c1e62,FGCU,28755,81,ASun,2013,35,24,103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4,7,X,San Diego State,Aztecs,SDSU,e6914f16-ca37-4d2e-ba26-a425910283e2,San Diego St.,626,71,0,2012,San Diego St..2013
0,0,2013,68,15784,3/20/13,Wednesday,13,Z,La Salle,Explorers,LAS,ad9a3e21-4585-4e35-8946-290fe4a16f18,La Salle,340,80,A10,2013,34,24,112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,13,Z,Boise State,Broncos,BSU,c1c54dbf-805c-47fc-a707-c803e94db2a4,Boise St.,66,71,0,2012,Boise St..2013
0,9,2013,64,15786,3/22/13,Friday,13,Z,La Salle,Explorers,LAS,ad9a3e21-4585-4e35-8946-290fe4a16f18,La Salle,340,63,A10,2013,34,24,112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,4,Z,Kansas State,Wildcats,KSU,d203f38a-a166-4258-bca2-e161b591ecfb,Kansas St.,327,61,0,2012,Kansas St..2013
0,1,2013,32,15788,3/24/13,Sunday,13,Z,La Salle,Explorers,LAS,ad9a3e21-4585-4e35-8946-290fe4a16f18,La Salle,340,76,A10,2013,34,24,112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,12,Z,Ole Miss,Rebels,MISS,d7d668ec-edaa-4d6b-be25-2ebba4128643,Ole Miss,433,74,0,2012,Ole Miss.2013
1,3,2013,64,15786,3/22/13,Friday,7,W,Illinois,Fighting Illini,ILL,150148c2-ca8f-414f-8f41-d94a55d4a122,Illinois,301,57,B10,2013,34,21,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,66.1,2.4,10,W,Colorado,Buffaloes,COLO,9fccbf28-2858-4263-821c-fdefb3c7efa3,Colorado,157,49,0,2012,Colorado.2013
0,0,2013,68,15783,3/19/13,Tuesday,11,Y,Saint Mary's,Gaels,SMC,b18f34af-a7f1-4659-a2e5-fc11a31cd316,Saint Mary's (CA),610,67,WCC,2013,34,27,113.9,94.9,0.891,53.7,47.1,18.3,17.9,36.9,25,37,36.9,52.3,44,37.3,36.7,64.8,2.5,11,Y,Middle Tennessee,Blue Raiders,MTU,3d2f0819-8f3b-4ff3-afd6-6227c469a751,Middle Tenn.,419,54,0,2012,Middle Tenn..2013
1,11,2013,64,15786,3/22/13,Friday,3,X,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,79,SEC,2013,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,14,X,Northwestern State,Demons,NWST,71874e7e-8260-43f9-bb7c-65f267dbe8ce,Northwestern St.,508,47,0,2012,Northwestern St..2013
1,8,2013,32,15788,3/24/13,Sunday,3,X,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,78,SEC,2013,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,11,X,Minnesota,Golden Gophers,MINN,fa416692-7e09-4f0a-9bcf-0cf7d5149a14,Minnesota,428,64,0,2012,Minnesota.2013
1,12,2013,16,15793,3/29/13,Friday,3,X,Florida,Gators,FLA,912f8837-1d81-4ef9-a576-a21f271d4c64,Florida,235,62,SEC,2013,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,62.8,4.1,15,X,Florida Gulf Coast,Eagles,FGCU,5326c079-3dc3-468f-a601-b776dd9c1e62,FGCU,28755,50,0,2012,FGCU.2013
0,7,2013,64,15785,3/21/13,Thursday,12,W,California,Golden Bears,CAL,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,California,107,64,P12,2013,33,21,105.4,92.3,0.8211,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,5,W,UNLV,Rebels,UNLV,68a3227f-677f-43b0-9a3a-cad79d0df9e2,UNLV,465,61,0,2012,UNLV.2013
1,11,2013,64,15785,3/21/13,Thursday,3,W,Marquette,Golden Eagles,MARQ,06f7c904-0ac7-4125-b0f4-f4871bb69057,Marquette,387,59,BE,2013,35,26,113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,14,W,Davidson,Wildcats,DAV,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Davidson,173,58,0,2012,Davidson.2013
1,3,2013,32,15787,3/23/13,Saturday,3,W,Marquette,Golden Eagles,MARQ,06f7c904-0ac7-4125-b0f4-f4871bb69057,Marquette,387,74,BE,2013,35,26,113,93.2,0.902,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,64.6,4.5,6,W,Butler,Bulldogs,BUT,bdb7d7a4-45f8-4bf3-ab85-15488c451494,Butler,87,72,0,2012,Butler.2013
