Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.099,0.0005,0.006607971,0.014361584,4,1,1,1.125,1.08,1.088235294,1.065217391,1.086206897,1.125,1.147368421
0.099,0.001,0.006796757,0.014738008,5,1.428571429,1.588235294,1.5,1.549019608,1.519480519,1.509615385,1.53030303,1.5,1.472081218
0.099,0.003,0.001612452,0.015248583,12,6.375,5.952380952,5.317073171,4.652173913,4.233009709,3.979591837,3.787878788,3.755813953,3.689440994
0.099,0.005,0.008385255,0.015331774,14,8,6.333333333,5.404255319,5.473684211,5.157894737,4.907407407,4.622119816,4.257142857,3.959654179
0.01,0.0005,0.000737083,0.100254329,3,1.25,1.176470588,1.115384615,1.088235294,1.069767442,1.057692308,1.05,1.042857143,1.038961039
0.01,0.001,0.000864393,0.103204927,3,1.5,1.230769231,1.142857143,1.09375,1.073170732,1.063829787,1.056603774,1.046875,1.041666667
0.01,0.003,0.001297062,0.104209405,3,1.5,1.588235294,1.517241379,1.431818182,1.381818182,1.348484848,1.333333333,1.325581395,1.305263158
0.01,0.005,0.005805684,0.106316105,3,1.75,1.684210526,1.517241379,1.472222222,1.476190476,1.48,1.466666667,1.470588235,1.453333333
0.011,0.0005,0.000479867,0.100165669,3,1.142857143,1.142857143,1.090909091,1.068965517,1.054054054,1.044444444,1.037037037,1.032258065,1.028571429
0.011,0.001,0.001328755,0.108475192,3,1.833333333,1.615384615,1.523809524,1.428571429,1.371428571,1.29787234,1.265625,1.193548387,1.174311927
0.011,0.003,0.001067607,0.110150386,3,1.333333333,1.1875,1.172413793,1.166666667,1.166666667,1.168674699,1.193548387,1.194444444,1.186440678
0.011,0.005,0.002490824,0.106443517,3,1.714285714,1.473684211,1.428571429,1.4,1.348837209,1.326923077,1.366666667,1.411764706,1.397435897
0.099,0.0005,0.005352396,0.015532225,4,1,1.125,1.133333333,1.166666667,1.151515152,1.181818182,1.203703704,1.194029851,1.2
0.099,0.001,0.006333633,0.014256288,5,2.428571429,2.157894737,1.861111111,1.703703704,1.702702703,1.608247423,1.557377049,1.559210526,1.597883598
0.099,0.003,0.006046487,0.014846162,12,6.625,5.590909091,4.833333333,4.590909091,4.212121212,3.945205479,3.880597015,3.75,3.614457831
0.099,0.005,0.001010153,0.0153329,14,7.75,6.333333333,6.085106383,5.623376623,5.234782609,4.938650307,4.648401826,4.287234043,3.968571429
0.01,0.0005,0.000469053,0.105796164,3,1.666666667,1.545454545,1.444444444,1.36,1.303030303,1.243902439,1.2,1.172413793,1.147058824
0.01,0.001,0.000438918,0.104944066,3,1.5,1.25,1.15,1.09375,1.083333333,1.086206897,1.085714286,1.086419753,1.084210526
0.01,0.003,0.001680524,0.105258331,3,1.571428571,1.625,1.517241379,1.456521739,1.409836066,1.38961039,1.366666667,1.323529412,1.293103448
0.01,0.005,0.004194809,0.10566877,3,1.714285714,1.578947368,1.517241379,1.472222222,1.452380952,1.408163265,1.392857143,1.40625,1.432432432
0.011,0.0005,0.000633741,0.103205644,3,1.4,1.363636364,1.235294118,1.153846154,1.121212121,1.102564103,1.085106383,1.071428571,1.063492063
0.011,0.001,0.00113426,0.101612811,3,1.571428571,1.235294118,1.153846154,1.117647059,1.088888889,1.076923077,1.06779661,1.055555556,1.041666667
0.011,0.003,0.001623326,0.101375452,3,1.428571429,1.416666667,1.5,1.393939394,1.433962264,1.378787879,1.333333333,1.333333333,1.336956522
0.011,0.005,0.003379344,0.105385317,3,1.428571429,1.315789474,1.5,1.416666667,1.431818182,1.396226415,1.423728814,1.417910448,1.44
0.099,0.0005,0.00016326,0.011027692,3,1,1,1.230769231,1.25,1.185185185,1.25,1.2,1.161764706,1.137931034
0.099,0.001,0.00692793,0.008308048,5,1.6,1.785714286,1.75,1.72972973,1.7,1.657534247,1.638095238,1.603053435,1.651162791
0.099,0.003,0.002272903,0.014391991,11,6.625,5.434782609,4.837209302,4.558823529,4.105769231,4,3.91,3.723735409,3.633540373
0.099,0.005,0.002,0.019101124,16,9.125,6.958333333,6.14893617,5.779220779,5.318965517,5.203703704,4.837962963,4.387096774,4.048710602
0.01,0.0005,0.000549848,0.117199166,3,1.142857143,1.058823529,1.038461538,1.028571429,1.023255814,1.019230769,1.016949153,1.014705882,1.013333333
0.01,0.001,0.000601921,0.114770453,3,1.285714286,1.142857143,1.090909091,1.066666667,1.078947368,1.088888889,1.075471698,1.0625,1.054054054
0.01,0.003,0.002151918,0.106852225,3,2.2,2,1.739130435,1.735294118,1.632653061,1.612903226,1.583333333,1.512195122,1.456521739
0.01,0.005,0.002070083,0.105509575,3,1.375,1.3,1.5,1.361111111,1.325581395,1.3,1.293103448,1.313432836,1.342105263
0.011,0.0005,0.00116836,0.100307639,3,1.166666667,1.071428571,1.045454545,1.033333333,1.026315789,1.022727273,1.019230769,1.016129032,1.014084507
0.011,0.001,0.000762102,0.118003034,3,1.666666667,1.266666667,1.166666667,1.129032258,1.1,1.083333333,1.070175439,1.059701493,1.051282051
0.011,0.003,0.001064529,0.113668927,3,1.285714286,1.2,1.173913043,1.25,1.232142857,1.202702703,1.1875,1.181818182,1.183673469
0.011,0.005,0.001583274,0.106950664,3,1.714285714,1.473684211,1.392857143,1.4375,1.447368421,1.4375,1.431034483,1.424242424,1.418918919
0.099,0.0005,0.000355416,0.011313708,3,2.6965E+308,1,1.125,1.166666667,1.125,1.136363636,1.140350877,1.147058824,1.12345679
0.099,0.001,0.012407505,0.014758802,5,1.666666667,1.526315789,1.59375,1.5,1.524390244,1.567567568,1.547445255,1.505813953,1.497652582
0.099,0.003,0.009614803,0.017354424,11,6.25,5.52173913,5.093023256,4.661764706,4.405940594,4.14084507,3.937823834,3.858267717,3.68847352
0.099,0.005,0.00942809,0.020997117,15,8.125,6.913043478,6.488888889,5.866666667,5.504424779,5.099378882,4.796296296,4.372759857,4.002849003
