"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/17/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0D5BF4K6 ON 12/17/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0D5BF4K6 ON 12/17/21","40.00","debit","Transfer","Personal Savings","",""
"12/17/2021","Venmo","VENMO            PAYMENT    211217 1017461022358   MATTHEW GOODSELL","40.00","debit","Transfer","Wells Fargo Everyday Checking","",""
"12/17/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0D5BF4K6 ON 12/17/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX1757 REF #IB0D5BF4K6 ON 12/17/21","40.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"12/16/2021","Venmo Cashout","VENMO            CASHOUT    211216 1017439029377   MATTHEW GOODSELL","100.00","credit","Income","Wells Fargo Everyday Checking","",""
"12/16/2021","Spotify","Spotify USA","9.99","debit","Music","Visa","",""
"12/16/2021","American Airlines","AMERICAN AIR0011520517193","30.00","debit","Air Travel","Visa","",""
"12/15/2021","ONLINE TRANSFER FROM GOODSELL M EVERYDAY CHECKING REF #IB0D4SYMZN ON 12/15/21","ONLINE TRANSFER FROM GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0D4SYMZN ON 12/15/21","2.11","credit","Transfer","Personal Savings","",""
"12/15/2021","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING REF #IB0D4SXWNT ON 12/15/21","ONLINE TRANSFER TO GOODSELL M EVERYDAY CHECKING XXXXXX9815 REF #IB0D4SXWNT ON 12/15/21","18.00","debit","Transfer","Personal Savings","",""
"12/15/2021","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS REF #IB0D4SXWNT ON 12/15/21","ONLINE TRANSFER FROM GOODSELL M WAY2SAVE SAVINGS XXXXXX1757 REF #IB0D4SXWNT ON 12/15/21","18.00","credit","Transfer","Wells Fargo Everyday Checking","",""
"12/15/2021","ONLINE TRANSFER TO GOODSELL M WAY2SAVE SAVINGS REF #IB0D4SYMZN ON 12/15/21","ONLINE TRANSFER TO GOODSELL M WAY2SAVE SAVINGS XXXXXX1757 REF #IB0D4SYMZN ON 12/15/21","2.11","debit","Transfer","Wells Fargo Everyday Checking","",""
