Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.09,0.001,0.03,0.009310151,0.01395873,5,1,1.083333333,1.166666667,1.075,1.025,0.982142857,0.941964286,0.888888889,0.855555556,0.854545455,0.848484848,0.831730769,0.813186813,0.79047619,0.772916667,0.776654412,0.762254902,0.744883041,0.734868421,0.729761905,0.220474934
0.09,0.003,0.03,0.012595904,0.018055306,9,3.75,3.875,3.416666667,3.3125,3.258333333,3.166666667,3.008928571,2.857638889,2.744444444,2.620454545,2.488636364,2.355769231,2.284340659,2.197619048,2.1,2.002757353,1.91503268,1.837719298,1.761184211,1.689285714,0.146002032
0.09,0.005,0.03,0.010680005,0.017883607,14,7.75,6.666666667,5.958333333,5.15,4.658333333,4.43452381,4.3125,4.024305556,3.697222222,3.4,3.15530303,2.940705128,2.75,2.578571429,2.433333333,2.320772059,2.220588235,2.114766082,2.026315789,1.944047619,0.158127254
0.1,0.001,0.03,0.000609821,0.002186075,6,2,1.833333333,1.645833333,1.6,1.5,1.43452381,1.415178571,1.361111111,1.338888889,1.256818182,1.206439394,1.161858974,1.114010989,1.091666667,1.069791667,1.057904412,1.032679739,1.007309942,0.963157895,0.920238095,0.187437062
0.1,0.003,0.03,0.00728011,0.012754757,13,6.375,5.541666667,5.0625,4.625,4.425,4.071428571,3.834821429,3.618055556,3.394444444,3.193181818,2.994318182,2.804487179,2.631868132,2.472619048,2.347916667,2.222426471,2.109477124,2.007309942,1.917763158,1.8375,0.161517199
0.1,0.005,0.03,0.005024938,0.006660467,17,14,11.83333333,9.6875,8.4125,7.141666667,6.160714286,5.410714286,4.833333333,4.383333333,4.015909091,3.683712121,3.407051282,3.162087912,2.967857143,2.79375,2.632352941,2.495915033,2.393274854,2.280921053,2.191071429,0.1406272
0.11,0.001,0.03,0.000716074,0.004833333,4,1,1,0.979166667,1,1.066666667,0.976190476,0.96875,0.940972222,0.961111111,0.920454545,0.909090909,0.876602564,0.855769231,0.830952381,0.826041667,0.825367647,0.812908497,0.790204678,0.767105263,0.754166667,0.18131116
0.11,0.003,0.03,0.001742161,0.013831394,10,6.875,6.083333333,5.166666667,4.875,4.458333333,4.089285714,3.861607143,3.701388889,3.522222222,3.384090909,3.214015152,3.022435897,2.839285714,2.679761905,2.53125,2.388786765,2.258986928,2.140350877,2.036842105,1.95,0.123337041
0.11,0.005,0.03,0.0075,0.009488293,19,11.875,10.04166667,8.916666667,7.7,6.833333333,5.952380952,5.28125,4.694444444,4.255555556,3.877272727,3.571969697,3.318910256,3.086538462,2.882142857,2.725,2.582720588,2.448529412,2.33625731,2.229605263,2.143452381,0.164143044
0.09,0.001,0.03,0.003228396,0.015113182,5,1,0.875,0.958333333,0.925,0.908333333,0.922619048,0.941964286,0.989583333,0.958333333,0.936363636,0.888257576,0.854166667,0.821428571,0.810714286,0.796875,0.785845588,0.779411765,0.77997076,0.763815789,0.75952381,0.222662202
0.09,0.003,0.03,0.002941609,0.005600794,9,4.5,4.25,4.333333333,4.0875,3.925,3.732142857,3.602678571,3.444444444,3.269444444,3.047727273,2.846590909,2.661858974,2.5,2.353571429,2.235416667,2.112132353,2.009803922,1.910818713,1.823026316,1.741666667,0.129707001
0.09,0.005,0.03,0.002748737,0.025358313,10,5.875,4.791666667,4.708333333,4.4,4.166666667,4.035714286,3.870535714,3.663194444,3.455555556,3.254545455,3.037878788,2.838141026,2.659340659,2.505952381,2.372916667,2.251838235,2.158496732,2.062865497,1.976315789,1.899404762,0.131606026
0.1,0.001,0.03,0.006980131,0.010576791,7,1.25,1.041666667,1.416666667,1.2875,1.2,1.160714286,1.147321429,1.184027778,1.133333333,1.095454545,1.047348485,1.017628205,0.986263736,0.960714286,0.953125,0.922794118,0.903594771,0.875,0.852631579,0.830952381,0.247640891
0.1,0.003,0.03,0.004451123,0.002794786,15,8.375,8.041666667,7.104166667,6.2875,5.608333333,5.178571429,4.758928571,4.302083333,3.922222222,3.6,3.306818182,3.054487179,2.837912088,2.658333333,2.489583333,2.348345588,2.215686275,2.099415205,1.999342105,1.908928571,0.154484175
