Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.09,0.0005,0.006517159,0.025810339,4,1,1.5,1.4,1.333333333,1.352941176,1.25,1.194444444,1.159090909,1.137931034
0.09,0.001,0.00540126,0.025103397,5,1.4,1.538461538,1.5,1.488372093,1.448275862,1.421686747,1.434782609,1.417808219,1.402298851
0.09,0.003,0.007911491,0.021990245,9,4.625,3.523809524,3.512820513,3.338709677,3.155555556,2.983870968,2.841463415,2.723300971,2.622568093
0.09,0.005,0.009091373,0.031005686,12,6.5,5.090909091,4.571428571,4.25,4.168316832,3.964539007,3.714285714,3.502040816,3.324758842
0.1,0.0005,0.005435724,0.01574357,4,1,1,1.25,1.157894737,1.129032258,1.222222222,1.25,1.214285714,1.2
0.1,0.001,0.002899998,0.014080404,5,1.666666667,1.647058824,1.709677419,1.615384615,1.551282051,1.508928571,1.51048951,1.511363636,1.511627907
0.1,0.003,0.004123106,0.011904329,13,6.125,4.833333333,4.347826087,4.260273973,4.12037037,3.980392157,3.854368932,3.735849057,3.543543544
0.1,0.005,0.002828427,0.017719948,15,8.75,6.826086957,6.363636364,5.684210526,5.669565217,5.392638037,4.917431193,4.483985765,4.117142857
0.11,0.0005,0.003421734,0.002122499,4,1.2,1.5,1.533333333,1.583333333,1.61971831,1.539215686,1.538461538,1.506329114,1.469387755
0.11,0.001,0.003605551,0.003650223,9,3.75,3.416666667,3.14893617,2.87012987,2.8125,2.618421053,2.455,2.296,2.183050847
0.11,0.003,0.001414214,0.004309409,20,13.75,12.33333333,9.770833333,8.075949367,6.805084746,5.853658537,5.171296296,4.647272727,4.220588235
0.11,0.005,0.00372678,0.000647827,26,18.75,14.04166667,10.52083333,8.3875,6.916666667,5.946107784,5.211711712,4.653710247,4.209631728
0.09,0.0005,0.007672566,0.024213174,4,2,1.2,1.357142857,1.263157895,1.222222222,1.2,1.16,1.133333333,1.126760563
0.09,0.001,0.014234632,0.027253542,5,1.666666667,1.7,1.696969697,1.6,1.514285714,1.472527473,1.456896552,1.461538462,1.441860465
0.09,0.003,0.022825424,0.022881374,11,4.5,3.583333333,3.395348837,3.043478261,2.83,2.733333333,2.676300578,2.633484163,2.56133829
0.09,0.005,0.020883273,0.024615385,13,6.5,5.043478261,4.409090909,4.157142857,4.16,3.992857143,3.771276596,3.559183673,3.40776699
0.1,0.0005,0.007293068,0.014854634,4,1.333333333,1.1,1.19047619,1.151515152,1.113636364,1.206896552,1.208333333,1.222222222,1.216494845
0.1,0.001,0.007202777,0.010297641,7,2,1.9375,1.875,1.764705882,1.792207792,1.69,1.7,1.627329193,1.578125
