Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.003789902,0.196731922,4,1.25,0.791666667,0.604166667,0.4625,0.383333333,0.321428571,0.276785714,0.246527778,0.219444444,0.2,0.185606061,0.171474359,0.160714286,0.154761905,0.1625,0.159007353,0.154411765,0.149122807,0.144078947,0.141071429,0.386899502
0.05,0.003,0.01,0.006180643,0.105644765,5,2,1.25,1.0625,0.95,0.825,0.773809524,0.741071429,0.6875,0.65,0.622727273,0.59280303,0.565705128,0.542582418,0.522619048,0.516666667,0.511029412,0.493464052,0.483918129,0.476973684,0.475,0.253249575
0.05,0.005,0.01,0.007841659,0.103975346,5,1.75,1.458333333,1.270833333,1.0375,0.916666667,0.880952381,0.834821429,0.795138889,0.788888889,0.765909091,0.75,0.748397436,0.744505495,0.73452381,0.726041667,0.722426471,0.715686275,0.715643275,0.699342105,0.668452381,0.220031075
0.1,0.001,0.01,0.009479731,0.054445863,4,1.25,0.708333333,0.604166667,0.5875,0.55,0.488095238,0.4375,0.413194444,0.375,0.365909091,0.339015152,0.326923077,0.31456044,0.294047619,0.283333333,0.268382353,0.258986928,0.246345029,0.246710526,0.238690476,0.317543642
0.1,0.003,0.01,0.011389109,0.051305739,6,3.125,2,1.541666667,1.45,1.375,1.297619048,1.245535714,1.194444444,1.127777778,1.070454545,1.020833333,0.982371795,0.949175824,0.923809524,0.903125,0.872242647,0.846405229,0.822368421,0.802631579,0.788095238,0.197768142
0.1,0.005,0.01,0.004742505,0.053333446,9,4.25,3.208333333,2.625,2.35,2.066666667,1.898809524,1.754464286,1.666666667,1.597222222,1.547727273,1.501893939,1.442307692,1.385989011,1.377380952,1.383333333,1.392463235,1.388071895,1.375,1.363157895,1.371428571,0.195882478
0.15,0.001,0.01,0.000790569,0.002925959,8,2.625,2.416666667,2.166666667,1.9625,1.916666667,1.720238095,1.558035714,1.440972222,1.316666667,1.209090909,1.123106061,1.025641026,0.971153846,0.894047619,0.845833333,0.797794118,0.74754902,0.723684211,0.673684211,0.652380952,0.229968467
0.15,0.003,0.01,0.001118034,0.001234696,22,13.25,11.66666667,9.020833333,7.325,6.083333333,5.214285714,4.549107143,4.045138889,3.641666667,3.304545455,3.020833333,2.793269231,2.589285714,2.411904762,2.267708333,2.128676471,2.013888889,1.909356725,1.811184211,1.725595238,0.195083402
0.15,0.005,0.01,0.00372678,0.004571044,22,16,13.16666667,10.02083333,8,6.633333333,5.642857143,4.910714286,4.357638889,3.919444444,3.552272727,3.259469697,3.003205128,2.789835165,2.603571429,2.440625,2.295036765,2.177287582,2.06505848,1.963815789,1.875,0.179333208
0.05,0.001,0.01,0.001032253,0.104576893,4,1.25,0.791666667,0.583333333,0.4625,0.391666667,0.363095238,0.34375,0.319444444,0.302777778,0.297727273,0.287878788,0.27724359,0.269230769,0.25952381,0.251041667,0.241727941,0.229575163,0.220760234,0.211842105,0.202380952,0.346105598
0.05,0.003,0.01,0.013826461,0.102447027,5,1.75,1.125,1,0.925,0.816666667,0.761904762,0.709821429,0.642361111,0.583333333,0.572727273,0.558712121,0.522435897,0.513736264,0.5,0.485416667,0.469669118,0.464052288,0.456140351,0.450657895,0.444047619,0.266642736
0.05,0.005,0.01,0.011680861,0.109821541,5,2,1.375,1.270833333,1.225,1.083333333,0.964285714,0.892857143,0.836805556,0.825,0.784090909,0.755681818,0.759615385,0.75,0.728571429,0.7125,0.701286765,0.687091503,0.68128655,0.665789474,0.65297619,0.214114376
0.1,0.001,0.01,0.0029193,0.056720454,4,0.625,0.458333333,0.416666667,0.45,0.475,0.452380952,0.424107143,0.392361111,0.391666667,0.356818182,0.335227273,0.322115385,0.296703297,0.289285714,0.275,0.262867647,0.253267974,0.244152047,0.236184211,0.236904762,0.357332934
0.1,0.003,0.01,0.041327463,0.05622214,8,3.375,2.208333333,1.916666667,1.6125,1.425,1.30952381,1.21875,1.128472222,1.052777778,1.022727273,0.965909091,0.921474359,0.906593407,0.895238095,0.872916667,0.865808824,0.868464052,0.860380117,0.856578947,0.848809524,0.241458961
0.1,0.005,0.01,0.010335198,0.057085193,8,4.75,3.5,2.729166667,2.275,2.025,1.946428571,1.834821429,1.732638889,1.666666667,1.581818182,1.513257576,1.480769231,1.473901099,1.464285714,1.44375,1.410845588,1.394607843,1.359649123,1.342763158,1.329761905,0.172953783
0.15,0.001,0.01,0.01139291,0.005749168,6,2.125,1.916666667,1.770833333,1.75,1.75,1.595238095,1.482142857,1.416666667,1.294444444,1.177272727,1.104166667,1.019230769,0.971153846,0.895238095,0.845833333,0.794117647,0.75245098,0.717836257,0.678289474,0.648214286,0.195409211
0.15,0.003,0.01,0.004123106,0.003873278,24,15.5,12.125,9.354166667,7.4625,6.166666667,5.267857143,4.602678571,4.069444444,3.652777778,3.318181818,3.043560606,2.806089744,2.601648352,2.430952381,2.277083333,2.143382353,2.02369281,1.915204678,1.821710526,1.736309524,0.20284163
0.15,0.005,0.01,0.00559017,0.004360451,23,16.375,13.20833333,9.916666667,7.925,6.625,5.583333333,4.897321429,4.336805556,3.9,3.525,3.231060606,2.988782051,2.774725275,2.59047619,2.425,2.289522059,2.165849673,2.055555556,1.957236842,1.869642857,0.186023472
0.05,0.001,0.01,0.002147698,0.100658749,4,1.25,0.791666667,0.625,0.5,0.4,0.339285714,0.294642857,0.256944444,0.238888889,0.227272727,0.215909091,0.227564103,0.223901099,0.25,0.247916667,0.245404412,0.238562092,0.230994152,0.223026316,0.21547619,0.355794162
0.05,0.003,0.01,0.001900453,0.108357372,4,1.375,1.083333333,1.1875,1.0125,0.875,0.779761905,0.714285714,0.701388889,0.669444444,0.634090909,0.611742424,0.602564103,0.581043956,0.56547619,0.551041667,0.534926471,0.522058824,0.507309942,0.501315789,0.497619048,0.216129722
0.05,0.005,0.01,0.011249199,0.11119005,5,1.75,1.333333333,1.270833333,1.0625,0.933333333,0.880952381,0.821428571,0.791666667,0.780555556,0.743181818,0.714015152,0.701923077,0.693681319,0.702380952,0.690625,0.693933824,0.699346405,0.692251462,0.683552632,0.655952381,0.224261032
0.1,0.001,0.01,0.006025623,0.053050094,4,0.5,0.583333333,0.583333333,0.5375,0.475,0.458333333,0.392857143,0.385416667,0.361111111,0.340909091,0.325757576,0.326923077,0.31456044,0.298809524,0.28125,0.28125,0.269607843,0.264619883,0.253289474,0.244047619,0.348495518
0.1,0.003,0.01,0.007251078,0.055223728,8,3,2.166666667,1.875,1.6,1.433333333,1.30952381,1.227678571,1.149305556,1.066666667,1.018181818,0.992424242,0.974358974,0.93956044,0.920238095,0.909375,0.887867647,0.869281046,0.864035088,0.874342105,0.869642857,0.242810665
0.1,0.005,0.01,0.014240006,0.060207973,9,3.875,2.916666667,2.729166667,2.3125,2.083333333,1.892857143,1.772321429,1.663194444,1.572222222,1.490909091,1.431818182,1.376602564,1.325549451,1.286904762,1.269791667,1.265625,1.263071895,1.286549708,1.318421053,1.350595238,0.202324026
0.15,0.001,0.01,0.001782742,0.002829158,5,2.125,2.291666667,2.166666667,2.05,1.858333333,1.702380952,1.575892857,1.472222222,1.330555556,1.220454545,1.119318182,1.049679487,0.976648352,0.90952381,0.852083333,0.797794118,0.758986928,0.716374269,0.679605263,0.65,0.159728148
