Radius,Resolution,Distance 1,Distance 2,Highest vote
5,5,0.0372678,0.020066386,44
5,6,0.014142136,,15
5,7,0.007071068,,16
5,8,0.059628479,,17
5,9,0.014142136,,20
5,10,0.070710678,,17
5,11,0.065764732,,19
5,12,0.056568542,,35
5,13,0.042426407,,29
5,14,0.056568542,,38
5,15,0.141421356,,57
5,16,0.119256959,,17
5,17,0.056568542,,38
5,18,0.141421356,,63
5,19,0.084852814,,63
5,20,0.141421356,,16
6,5,0.0372678,0.0080403,25
6,6,0.056568542,0.050225658,45
6,7,0.056568542,,13
6,8,0.059628479,,17
6,9,0.014142136,,19
6,10,0.047140452,,17
6,11,0.014142136,,19
6,12,0.056568542,,32
6,13,0.042426407,,25
6,14,0.056568542,,30
6,15,0.141421356,,37
6,16,0.113137085,,17
6,17,0.056568542,,30
6,18,0.141421356,,63
6,19,0.084852814,,58
6,20,0.141421356,,17
7,5,0.049166608,0.049672503,18
7,6,0.056568542,0.052212603,35
7,7,0.056568542,0.052976373,45
7,8,0.056568542,,17
7,9,0.055901699,,18
7,10,0.094280904,,17
7,11,0.014142136,,19
7,12,0.056568542,,29
7,13,0.042426407,,25
7,14,0.056568542,,28
7,15,0.141421356,,32
7,16,0.113137085,,16
7,17,0.056568542,,28
7,18,0.141421356,,63
7,19,0.084852814,,42
7,20,0.141421356,,16
8,5,0.035355339,0.042870384,30
8,6,0.056568542,0.05352705,30
8,7,0.056568542,0.053283762,37
8,8,0.056568542,0.031807479,43
8,9,0.098994949,,15
8,10,0.070710678,,17
8,11,0.065764732,,18
8,12,0.056568542,,23
8,13,0.042426407,,25
8,14,0.056568542,,26
8,15,0.141421356,,29
8,16,0.113137085,,16
8,17,0.056568542,,26
8,18,0.141421356,,60
8,19,0.084852814,,34
8,20,0.141421356,,17
9,5,0.035355339,0.042779114,28
9,6,0.056568542,0.050620915,43
9,7,0.056568542,0.05409788,31
9,8,0.056568542,0.068599124,31
9,9,0.014142136,0.038165643,41
9,10,0.070710678,,16
9,11,0.014142136,,19
9,12,0.141421356,,15
9,13,0.042426407,,23
9,14,0.056568542,,24
9,15,0.141421356,,27
9,16,0.113137085,,17
9,17,0.056568542,,24
9,18,0.141421356,,45
9,19,0.084852814,,30
9,20,0.141421356,,16
10,5,0.035355339,0.045456141,32
10,6,0.056568542,0.050226927,34
10,7,0.056568542,0.055550449,62
10,8,0.056568542,0.075712822,21
10,9,0.014142136,0.033504695,37
10,10,0.070710678,0.03907484,43
10,11,0.091923882,,16
