Radius,Resolution,Gitter,Distance 1,Distance 2,Highest Vote,Layer 1 mean,Layer 2 mean,Layer 3 mean,Layer 4 mean,Layer 5 mean,Layer 6 mean,Layer 7 mean,Layer 8 mean,Layer 9 mean,Layer 10 mean,Layer 11 mean,Layer 12 mean,Layer 13 mean,Layer 14 mean,Layer 15 mean,Layer 16 mean,Layer 17 mean,Layer 18 mean,Layer 19 mean,Layer 20 mean,Confidence
0.05,0.001,0.01,0.011676781,0.054847801,5,1.375,1.333333333,1,0.8375,0.8,0.708333333,0.629464286,0.611111111,0.611111111,0.588636364,0.556818182,0.52724359,0.502747253,0.475,0.454166667,0.430147059,0.408496732,0.397660819,0.390131579,0.380952381,0.277502529
0.05,0.001,0.03,0.013897365,0.058409501,5,1.625,1.25,1.083333333,1,0.858333333,0.744047619,0.65625,0.583333333,0.527777778,0.488636364,0.464015152,0.442307692,0.423076923,0.41547619,0.405208333,0.400735294,0.414215686,0.402046784,0.394078947,0.388690476,0.278294737
0.05,0.003,0.01,0.011356397,0.056598761,6,2.625,2.25,1.875,1.7625,1.583333333,1.404761905,1.321428571,1.229166667,1.141666667,1.084090909,1.03219697,0.990384615,0.946428571,0.910714286,0.878125,0.863970588,0.847222222,0.831871345,0.827631579,0.825,0.192119924
0.05,0.003,0.03,0.008908239,0.050816999,5,2,1.666666667,1.4375,1.225,1.208333333,1.148809524,1.053571429,1.003472222,0.983333333,0.956818182,0.935606061,0.897435897,0.883241758,0.876190476,0.857291667,0.840992647,0.827614379,0.812134503,0.792105263,0.781547619,0.190929585
0.05,0.005,0.01,0.012227942,0.05645903,7,3.125,2.541666667,2.166666667,1.9375,1.758333333,1.56547619,1.46875,1.413194444,1.372222222,1.306818182,1.259469697,1.253205128,1.25,1.238095238,1.216666667,1.224264706,1.243464052,1.288011696,1.319078947,1.341071429,0.182820345
0.05,0.005,0.03,0.022662851,0.064921099,7,3.375,3.125,2.5625,2.075,1.95,1.767857143,1.607142857,1.506944444,1.422222222,1.345454545,1.371212121,1.328525641,1.358516484,1.35,1.326041667,1.306066176,1.304738562,1.304824561,1.273684211,1.248214286,0.171111722
0.09,0.001,0.01,0.001276669,0.012615926,6,2.375,1.416666667,1.3125,1.3,1.15,1.053571429,0.995535714,0.930555556,0.872222222,0.859090909,0.825757576,0.78525641,0.76510989,0.751190476,0.733333333,0.725183824,0.715686275,0.711988304,0.721052632,0.724404762,0.233244258
0.09,0.001,0.03,0.005148164,0.012655969,4,0.875,0.875,1.125,1.2,1.216666667,1.160714286,1.066964286,1.03125,1.013888889,0.988636364,0.952651515,0.932692308,0.914835165,0.880952381,0.854166667,0.821691176,0.793300654,0.76754386,0.739473684,0.722619048,0.174420783
0.09,0.003,0.01,0.004771712,0.015841119,11,6.5,5.5,4.458333333,4.025,3.841666667,3.607142857,3.459821429,3.361111111,3.152777778,3.006818182,2.831439394,2.666666667,2.5,2.352380952,2.215625,2.100183824,2,1.899122807,1.8125,1.733333333,0.148600608
0.09,0.003,0.03,0.004466892,0.004722162,10,5.25,4.458333333,4.375,4.225,3.9,3.660714286,3.450892857,3.267361111,3.163888889,2.979545455,2.795454545,2.633012821,2.476648352,2.332142857,2.2,2.085477941,1.984477124,1.890350877,1.806578947,1.729166667,0.141514682
0.09,0.005,0.01,0.002795085,0.01432873,15,8.125,6.583333333,5.958333333,5.4375,5.425,5.047619048,4.558035714,4.138888889,3.772222222,3.465909091,3.200757576,2.967948718,2.766483516,2.597619048,2.446875,2.320772059,2.218954248,2.117690058,2.024342105,1.939880952,0.162843172
0.09,0.005,0.03,0.009013878,0.014597665,12,6.25,6.208333333,5.583333333,5.5875,5.366666667,5.011904762,4.602678571,4.1875,3.833333333,3.529545455,3.246212121,3.009615385,2.813186813,2.651190476,2.505208333,2.370404412,2.258169935,2.153508772,2.067105263,1.988095238,0.137577615
0.1,0.001,0.01,0.003605551,0.003515906,10,3,2.875,3.208333333,2.7875,2.6,2.428571429,2.294642857,2.121527778,1.930555556,1.788636364,1.659090909,1.52724359,1.434065934,1.328571429,1.25625,1.192095588,1.125816993,1.067982456,1.011184211,0.967857143,0.210062297
0.1,0.001,0.03,0.003895664,0.012118884,5,1.125,1.25,1.145833333,1.0375,1.191666667,1.178571429,1.236607143,1.184027778,1.122222222,1.097727273,1.075757576,1.052884615,1.016483516,0.976190476,0.941666667,0.899816176,0.875816993,0.846491228,0.826315789,0.802380952,0.193177289
0.1,0.003,0.01,0.003354102,0.004067515,21,13.625,12.16666667,9.854166667,8.05,6.766666667,5.738095238,5.03125,4.444444444,3.988888889,3.629545455,3.325757576,3.060897436,2.836538462,2.644047619,2.484375,2.341911765,2.20751634,2.100146199,1.996710526,1.904166667,0.176179239
0.1,0.003,0.03,0.001838478,0.013126876,12,7.625,6.458333333,5.666666667,5.55,5.083333333,4.619047619,4.178571429,3.916666667,3.638888889,3.377272727,3.15719697,2.945512821,2.762362637,2.603571429,2.457291667,2.318014706,2.187908497,2.073099415,1.971052632,1.881547619,0.138774305
0.1,0.005,0.01,0.0025,0.004196888,27,18.75,14.70833333,11.3125,8.925,7.391666667,6.321428571,5.53125,4.923611111,4.425,4.034090909,3.714015152,3.426282051,3.192307692,2.976190476,2.798958333,2.643382353,2.507352941,2.377923977,2.284868421,2.185714286,0.19090733
0.1,0.005,0.03,0.004472136,0.004622502,16,12.625,10.66666667,9.479166667,8.3,7.075,6.142857143,5.352678571,4.809027778,4.313888889,3.931818182,3.609848485,3.346153846,3.116758242,2.91547619,2.75,2.612132353,2.488562092,2.375,2.276315789,2.180357143,0.13749637
0.11,0.001,0.01,0.003568397,0.015428949,6,1.5,1.416666667,1.395833333,1.15,1.058333333,0.958333333,0.991071429,0.916666667,0.897222222,0.847727273,0.821969697,0.802884615,0.799450549,0.770238095,0.746875,0.720588235,0.699346405,0.68494152,0.675657895,0.674404762,0.244616291
0.11,0.001,0.03,0.005115174,0.011265821,6,2.125,1.75,1.4375,1.225,1.133333333,1.023809524,0.950892857,0.881944444,0.855555556,0.795454545,0.799242424,0.78525641,0.758241758,0.738095238,0.736458333,0.712316176,0.693627451,0.676169591,0.663157895,0.647619048,0.236325846
0.11,0.003,0.01,0.004756574,0.014204175,15,8.25,6.583333333,5.4375,5.0125,4.741666667,4.708333333,4.495535714,4.21875,3.852777778,3.547727273,3.301136364,3.081730769,2.877747253,2.696428571,2.541666667,2.402573529,2.276960784,2.164473684,2.065789474,1.97202381,0.164422023
0.11,0.003,0.03,0.002626397,0.024215574,11,4.875,4.541666667,4.395833333,3.9625,3.7,3.505952381,3.357142857,3.21875,3.111111111,3.015909091,2.901515152,2.801282051,2.68543956,2.551190476,2.426041667,2.301470588,2.191993464,2.094298246,2.004605263,1.921428571,0.151592137
0.11,0.005,0.01,0.006066758,0.009624821,20,10.625,10.45833333,9.104166667,8.125,7.008333333,6.095238095,5.325892857,4.743055556,4.266666667,3.886363636,3.570075758,3.301282051,3.086538462,2.9,2.732291667,2.585477941,2.454248366,2.335526316,2.234210526,2.142261905,0.17096945
0.11,0.005,0.03,0.009,0.010912012,17,13.5,11.29166667,9.333333333,7.7,6.816666667,6.023809524,5.299107143,4.701388889,4.227777778,3.859090909,3.566287879,3.331730769,3.103021978,2.896428571,2.735416667,2.594669118,2.459150327,2.342836257,2.229605263,2.148214286,0.145100467
0.15,0.001,0.01,0.01492527,0.055157659,5,0.25,0.625,0.541666667,0.5625,0.508333333,0.458333333,0.428571429,0.402777778,0.375,0.345454545,0.323863636,0.304487179,0.291208791,0.283333333,0.273958333,0.267463235,0.256535948,0.252923977,0.246052632,0.239285714,0.408605231
0.15,0.001,0.03,0.002650557,0.084070685,4,0.125,0.291666667,0.229166667,0.2125,0.191666667,0.172619048,0.160714286,0.15625,0.141666667,0.136363636,0.134469697,0.133012821,0.129120879,0.129761905,0.14375,0.146139706,0.142973856,0.148391813,0.148026316,0.15,0.553766534
0.15,0.003,0.01,0.001598009,0.052923971,8,3.875,3.083333333,2.479166667,2.1875,2.041666667,1.886904762,1.776785714,1.677083333,1.611111111,1.536363636,1.479166667,1.427884615,1.387362637,1.382142857,1.330208333,1.298713235,1.291666667,1.269005848,1.260526316,1.257142857,0.183744428
