Radius,Resolution,Distance 1,Distance 2,Highest Vote,Layer_Mean_1,Layer_Mean_2,Layer_Mean_3,Layer_Mean_4,Layer_Mean_5,Layer_Mean_6,Layer_Mean_7,Layer_Mean_8,Layer_Mean_9
0.099,0.0005,0.004278988,0.012072274,4,1,1.125,1.166666667,1.1875,1.239130435,1.177419355,1.173333333,1.1875,1.205357143
0.099,0.001,0.001256581,0.01212645,6,1.666666667,1.7,1.918918919,1.859649123,1.963855422,1.884297521,1.834394904,1.796954315,1.780590717
0.099,0.003,0.004708871,0.008684708,13,8.625,7.791666667,6.875,6.3625,5.9,5.560240964,5.15,4.709677419,4.32183908
0.099,0.005,0.002357023,0.006656919,22,13.25,12.16666667,10.5,9.1,7.533333333,6.446428571,5.69058296,5.076923077,4.622535211
0.01,0.0005,0.000355227,0.096902051,3,1.25,1.133333333,1.083333333,1.0625,1.048780488,1.040816327,1.034482759,1.03030303,1.026315789
0.01,0.001,0.000457189,0.087415839,3,1.333333333,1.25,1.2,1.185185185,1.142857143,1.11627907,1.081967213,1.084507042,1.072289157
0.01,0.003,0.00228134,0.087370539,4,2,1.666666667,1.516129032,1.510204082,1.5,1.521126761,1.487804878,1.453608247,1.467889908
0.01,0.005,0.003534558,0.088224855,4,2,1.842105263,1.642857143,1.628571429,1.586956522,1.636363636,1.6,1.581081081,1.590361446
0.011,0.0005,0.000120359,0.083236122,3,1.333333333,1.25,1.2,1.148148148,1.117647059,1.085106383,1.070175439,1.109375,1.109589041
0.011,0.001,0.00146277,0.080666051,3,1.666666667,1.294117647,1.25,1.210526316,1.153846154,1.14516129,1.125,1.105882353,1.09
0.011,0.003,0.003777915,0.077958159,3,2.2,1.692307692,1.4,1.342105263,1.438596491,1.486842105,1.482352941,1.483146067,1.479591837
0.011,0.005,0.00302184,0.086411662,4,1.75,1.6,1.807692308,1.764705882,1.720930233,1.764705882,1.796610169,1.820895522,1.84
0.099,0.0005,0.005827376,0.011011358,4,1,1.1,1.210526316,1.15625,1.125,1.125,1.123287671,1.113636364,1.137614679
0.099,0.001,0.003214286,0.011906286,6,2.142857143,2.285714286,2.236842105,2.098360656,1.877777778,1.795081967,1.7625,1.730569948,1.721991701
0.099,0.003,0.005249762,0.010775956,15,11.375,8.833333333,7.645833333,6.7375,6.338983051,5.873493976,5.248868778,4.758865248,4.376436782
0.099,0.005,0.005,0.00609971,23,13.5,11.79166667,10.35416667,8.7625,7.475,6.51497006,5.733031674,5.123239437,4.645892351
0.01,0.0005,0.000938943,0.09454241,3,1.5,1.307692308,1.277777778,1.24,1.225806452,1.210526316,1.191489362,1.147540984,1.118421053
0.01,0.001,0.000731521,0.082215048,3,1.6,1.454545455,1.352941176,1.28,1.205882353,1.191489362,1.183333333,1.168831169,1.151515152
0.01,0.003,0.001973531,0.088520169,3,2.166666667,1.7,1.513513514,1.436363636,1.470588235,1.456790123,1.423913043,1.403846154,1.383333333
0.01,0.005,0.006246995,0.08863488,4,1.857142857,1.833333333,1.733333333,1.666666667,1.652173913,1.596491228,1.588235294,1.575,1.554347826
0.011,0.0005,0.000371485,0.097963773,3,1.333333333,1.153846154,1.105263158,1.076923077,1.058823529,1.044444444,1.038461538,1.033898305,1.03030303
0.011,0.001,0.001055559,0.096525636,3,1.333333333,1.214285714,1.130434783,1.090909091,1.071428571,1.074074074,1.109589041,1.111111111,1.095238095
0.011,0.003,0.001783853,0.080107178,3,1.714285714,1.388888889,1.4,1.428571429,1.426229508,1.430379747,1.375,1.364485981,1.336134454
0.011,0.005,0.002515839,0.084568064,4,2.125,1.95,1.827586207,1.777777778,1.695652174,1.696428571,1.696969697,1.649350649,1.651162791
0.099,0.0005,0.000571618,0.017832993,3,1,1,1.090909091,1.058823529,1.05,1.038461538,1.108108108,1.125,1.120689655
0.099,0.001,0.0028096,0.009276988,5,1.875,1.714285714,1.736842105,1.790322581,1.835294118,1.796610169,1.798657718,1.759562842,1.706896552
0.099,0.003,0.001414214,0.005445706,17,10.625,8.458333333,7.5625,6.9875,6.433333333,5.861445783,5.325688073,4.855072464,4.474926254
